Num_experimento,Seed,F1-score,best_parameter,varianza,std
1,90,0.52863436123348,{'C': 2},,
1,462,0.52863436123348,{'C': 2},,
1,828,0.52863436123348,{'C': 2},,
1,801,0.52863436123348,{'C': 2},,
1,207,0.52863436123348,{'C': 2},0,0
2,172,0.52863436123348,{'C': 2},,
2,622,0.52863436123348,{'C': 2},,
2,243,0.52863436123348,{'C': 2},,
2,425,0.52863436123348,{'C': 2},,
2,839,0.52863436123348,{'C': 2},0,0
3,17,0.53448275862069,{'C': 0.12},,
3,434,0.53448275862069,{'C': 0.12},,
3,369,0.53448275862069,{'C': 0.12},,
3,546,0.53448275862069,{'C': 0.12},,
3,961,0.53448275862069,{'C': 0.12},0,0
4,59,0.523605150214592,{'C': 1},,
4,518,0.523605150214592,{'C': 1},,
4,612,0.523605150214592,{'C': 1},,
4,46,0.523605150214592,{'C': 1},,
4,629,0.523605150214592,{'C': 1},0,0
5,928,0.556521739130435,{'C': 0.25},,
5,757,0.556521739130435,{'C': 0.25},,
5,439,0.556521739130435,{'C': 0.25},,
5,300,0.556521739130435,{'C': 0.25},,
5,949,0.556521739130435,{'C': 0.25},0,0
6,283,0.504273504273504,{'C': 0.05},,
6,434,0.504273504273504,{'C': 0.05},,
6,937,0.504273504273504,{'C': 0.05},,
6,524,0.504273504273504,{'C': 0.05},,
6,255,0.504273504273504,{'C': 0.05},0,0
7,105,0.502202643171806,{'C': 0.25},,
7,943,0.502202643171806,{'C': 0.25},,
7,774,0.502202643171806,{'C': 0.25},,
7,934,0.502202643171806,{'C': 0.25},,
7,72,0.502202643171806,{'C': 0.25},0,0
8,571,0.418181818181818,{'C': 0.12},,
8,593,0.418181818181818,{'C': 0.12},,
8,214,0.418181818181818,{'C': 0.12},,
8,221,0.418181818181818,{'C': 0.12},,
8,105,0.418181818181818,{'C': 0.12},0,0
9,136,0.5,{'C': 4},,
9,907,0.5,{'C': 4},,
9,196,0.5,{'C': 4},,
9,627,0.5,{'C': 4},,
9,622,0.5,{'C': 4},0,0
10,732,0.427350427350427,{'C': 0.05},,
10,730,0.427350427350427,{'C': 0.05},,
10,936,0.427350427350427,{'C': 0.05},,
10,671,0.427350427350427,{'C': 0.05},,
10,3,0.427350427350427,{'C': 0.05},3.08148791101958E-33,5.55111512312578E-17
11,532,0.460905349794239,{'C': 2},,
11,215,0.460905349794239,{'C': 2},,
11,311,0.460905349794239,{'C': 2},,
11,130,0.460905349794239,{'C': 2},,
11,919,0.460905349794239,{'C': 2},0,0
12,474,0.353846153846154,{'C': 2},,
12,258,0.353846153846154,{'C': 2},,
12,588,0.353846153846154,{'C': 2},,
