Experimento de anorexia número: 626
14 weeks laugh
19 gender expression
2015 my only
21 f4r belfast
22 years think
abroad there are
actors play well
advice and words
afterwards you feel
again got up
age 19 gender
ago would have
all my treatments
already said this
am at healthy
am autistic and
am outside for
am still managing
amazing our little
an eating disorder
and am sorry
and brush my
and despite feelings
and gain and
and it cold
and my weight
and realise that
and really needed
and then made
and this lovely
and where would
and words of
anime endings still
another and there
anxiety faced my
anymore thank you
anymore think know
anyone felt like
apart had sudden
are all well
are nothing but
are still interested
as horrible as
as my partner
as someone has
asking how to
at healthy weight
at possible iv
atheists do not
autism is not
autistic people are
bad earache that
be brighter one
be days when
be my ideal
be that person
be when you
because autism is
because everyone has
bed wanted to
been percent compliant
before feel strong
being disappointed by
binging and purging
bits of advice
blackwidow in 2015
borrowing his the
bought my partner
boy two episodes
boyfriend and call
brain will not
break my fast
breakfast skipped lunch
brighter one xxxx
brown sugar and
brush my hair
but afterwards you
but the actors
but yesterday took
by anime endings
call it hurty
can push past
can share this
cancelled that dinner
case she saw
cf and not
cf anymore think
cf community gave
cf control me
choice really am
cold and despite
cold windy will
comedy visuals the
community gave me
compliant with all
control me and
could see have
creep up thank
cried because it
currently abroad there
cystic fibrosis it
days and know
days might wear
days when get
despite feelings rough
dinner and then
dinner or would
dinner skipped total
disappointed by anime
do my treatments
do something saw
do treatments because
dreaded cold and
ear have goldador
earache that lasts
early days and
else know has
encouragement as my
encouragement hardly recognise
endings still like
enjoy the ten
enzymes in case
episodes in and
etc have responsibility
ever realise that
everyone am still
everyone has days
ex still not
faced my first
family etc have
feel amazing our
feel can share
feel like my
feel strong enough
feelings rough still
fell apart had
felt so freeing
fibrosis it happened
first cough it
first hurdle this
for my social
for rambling or
for the messages
freeing to actually
friend for dinner
from anorexia and
fun with her
function is improving
future which hope
gain and gain
get really bad
get up and
girls on the
gloating it is
goldador she just
golden in her
good comedy visuals
gorgeous and love
got the smartest
got up yesterday
great boy two
had sudden realisation
had them on
hair cried because
hair happy 10
happens can push
happy hope you
hardly recognise the
has days like
hate my cf
have been percent
have cancelled that
have decided not
have goldador she
have our licenses
have responsibilities to
have started therapy
have taken my
have to there
he never want
health food store
health when my
her again next
her laugh bought
her personality have
his the razer
horrible as you
hours of awesome
hurdle this week
hurty windy ear
ideal he looks
if am outside
if that okay
improving and my
in 2015 my
in 22 years
in backpackers hostel
in her personality
in your eye
irresponsible person and
is currently abroad
is improving and
is that did
issue my boyfriend
it as horrible
it cold windy
it early days
it goes happy
it gorgeous and
it hurty windy
it log it
iv before feel
just turned 14
just turned months
keep it for
keep motivated with
know has this
know it early
lab for the
lady luna little
lady luna not
lady luna our
last week asking
laugh bought my
laugh needed to
lazy irresponsible person
let my cf
life feel can
like lab for
like myself this
like such great
like to enjoy
little anymore thank
little lady luna
looking at possible
looks like lab
looks like such
loud interested to
love to update
lovely cf community
luna little lady
luna not so
luna our little
lunch skipped dinner
lung function is
make my bed
makes me really
managing all my
me some great
messages of encouragement
month ago would
months looks like
more common for
motivated with treatments
my bed wanted
my boyfriend and
my brain will
my cf and
my cf anymore
my cf control
my eating disorder
my enzymes in
my first hurdle
my hair cried
my hair out
my ideal he
my life feel
my lung function
my mouth was
my only regret
my partner blackwidow
my partner ex
my relationship fell
my social anxiety
my stomach and
my treatments and
my treatments for
my treatments wanted
my weight is
myself it gorgeous
myself this lazy
nearly two weeks
need them my
needed to share
neuro developmental disorder
next week month
no choice really
not be cured
not let my
not like myself
not so little
not take any
not to hate
of advice and
of awesome anyway
of encouragement as
of encouragement hardly
of my cf
of my treatments
of the autistic
of worse things
okay love to
one else know
one xxxx if
only regret is
or so no
or to their
orange would be
our little lady
out loud interested
outside for an
own rather than
partner blackwidow in
partner ex still
people have responsibilities
percent compliant with
person again got
person and if
person was month
personality have fun
physical appearance of
pick at my
plans to see
play well off
plus hours of
pm me and
possible iv before
possibly the first
post is and
posted last week
pull my hair
push past that
pushed through and
rambling or if
rather than borrowing
razer orange would
reading this xx
realisation that did
realise that have
realise that where
really bad earache
recognise the person
recovering from anorexia
relationship fell apart
responsibilities to their
responsibility to my
rough still pushed
saw friend for
saw them but
scene had me
see have decided
see the golden
share this with
she just turned
she saw them
should he never
shower and brush
side effects of
skipped lunch skipped
smartest writing but
so freeing to
so little anymore
so much thank
so must be
social anxiety faced
some good comedy
some great bits
someone has already
someone posted last
someone today hope
someone with cystic
something saw friend
sorry for rambling
started therapy for
starting to creep
still managing all
strong enough not
such great boy
sudden realisation that
sure is currently
table so she
taken my enzymes
tell me those
ten plus hours
than borrowing his
thank you she
that and realise
that but think
that dinner or
that happens can
that lasts about
that not question
that okay love
that person again
that when that
that where other
that why should
that with someone
the actors play
the autistic community
the counter at
the future which
the golden in
the messages of
the razer orange
the smartest writing
the ten plus
the vomit scene
their family etc
their job or
them but yesterday
them my lung
then made plans
there no choice
think want to
this is way
this issue my
this lazy irresponsible
this lovely cf
this show goes
this was gloating
this week dreaded
this with so
this xx thank
time ever realise
time in 22
time she has
times it as
to actually want
to be days
to creep up
to do treatments
to hate my
to keep motivated
to my health
to shower and
to their family
to there no
to update you
today hope you
took them and
treatments and have
treatments and this
treatments because everyone
treatments for nearly
treatments wanted to
turned 14 weeks
turned months looks
two episodes in
up and will
up but afterwards
update you all
very much have
visuals the vomit
vomit scene had
want to cut
wanted to shower
was gloating it
way more common
ways to cope
we should try
week asking how
week dreaded cold
week month ago
weeks laugh needed
weeks now this
well and thank
well off one
when am nervous
when my relationship
where other people
where this show
why should he
will be brighter
windy ear have
windy will get
with anorexia and
with cystic fibrosis
with depression and
with her laugh
with so wanted
with someone posted
with someone today
with the public
with treatments and
would be looking
would have cancelled
writing but the
xx thank you
xxxx if am
year old female
years think want
yesterday and wanted
yesterday took them
you are nothing
you everyone am
you feel amazing
you first cough
you she just
your hair happy
