Num_exp,Num_feat1,Num_feat2,Tau,Dif,Fuzzy,Remove_stop,Compress,Chose,Dic,F1,Best_parameter
97,1000,1500,0.99,True,True,True,False,1,2,0.7428571428571429,{'C': 0.05}
145,1000,1500,0.99,True,True,True,False,3,2,0.7605633802816902,{'C': 0.05}
98,1000,1200,0.99,True,True,True,False,1,2,0.7222222222222222,{'C': 0.05}
241,1000,1500,0.99,True,True,True,False,1,4,0.6461538461538462,{'C': 0.05}
49,1000,1500,0.99,True,True,True,False,3,1,0.6666666666666667,{'C': 0.12}
193,1000,1500,0.99,True,True,True,False,3,3,0.6666666666666667,{'C': 0.05}
99,1000,800,0.99,True,True,True,False,1,2,0.7142857142857144,{'C': 0.05}
146,1000,1200,0.99,True,True,True,False,3,2,0.7397260273972602,{'C': 0.05}
242,1000,1200,0.99,True,True,True,False,1,4,0.6875000000000001,{'C': 0.05}
243,1000,800,0.99,True,True,True,False,1,4,0.5666666666666667,{'C': 0.05}
100,1500,1000,0.99,True,True,True,False,1,2,0.6764705882352942,{'C': 0.05}
147,1000,800,0.99,True,True,True,False,3,2,0.7142857142857144,{'C': 0.05}
50,1000,1200,0.99,True,True,True,False,3,1,0.6567164179104478,{'C': 0.05}
194,1000,1200,0.99,True,True,True,False,3,3,0.625,{'C': 0.05}
1,1000,1500,0.99,True,True,True,False,1,1,0.6461538461538462,{'C': 0.05}
244,1500,1000,0.99,True,True,True,False,1,4,0.6031746031746033,{'C': 0.05}
101,1500,1200,0.99,True,True,True,False,1,2,0.6764705882352942,{'C': 0.05}
2,1000,1200,0.99,True,True,True,False,1,1,0.6461538461538462,{'C': 0.05}
148,1500,1000,0.99,True,True,True,False,3,2,0.7142857142857144,{'C': 0.05}
51,1000,800,0.99,True,True,True,False,3,1,0.6666666666666667,{'C': 0.05}
195,1000,800,0.99,True,True,True,False,3,3,0.6031746031746033,{'C': 0.25}
245,1500,1200,0.99,True,True,True,False,1,4,0.6349206349206349,{'C': 0.05}
3,1000,800,0.99,True,True,True,False,1,1,0.6363636363636365,{'C': 0.05}
102,2000,2000,0.99,True,True,True,False,1,2,0.7352941176470589,{'C': 0.05}
