Num_exp,Num_feat1,Num_feat2,Tau,Dif,Fuzzy,Remove_stop,Compress,Chose,Dic,F1,Best_parameter
505,1000,1500,0.99,True,True,True,True,1,3,0.6888888888888889,{'C': 0.12}
601,1000,1500,0.99,True,True,True,False,1,4,0.6461538461538462,{'C': 0.12}
289,1000,1500,0.99,True,True,True,True,1,2,0.6168224299065421,{'C': 0.12}
385,1000,1500,0.99,True,True,True,False,1,3,0.5806451612903225,{'C': 0.25}
193,1000,1500,0.99,True,True,True,False,1,2,0.7428571428571429,{'C': 0.05}
697,1000,1500,0.99,True,True,True,True,1,4,0.6597938144329897,{'C': 0.05}
97,1000,1500,0.99,True,True,True,True,1,1,0.6470588235294118,{'C': 0.05}
625,1000,1500,0.99,True,True,False,False,1,4,0.6567164179104478,{'C': 0.05}
313,1000,1500,0.99,True,True,False,True,1,2,0.6037735849056605,{'C': 0.25}
433,1000,1500,0.99,True,True,False,False,1,3,0.5806451612903225,{'C': 0.12}
529,1000,1500,0.99,True,True,False,True,1,3,0.7032967032967035,{'C': 0.05}
217,1000,1500,0.99,True,True,False,False,1,2,0.7246376811594203,{'C': 0.05}
121,1000,1500,0.99,True,True,False,True,1,1,0.6534653465346535,{'C': 0.05}
721,1000,1500,0.99,True,True,False,True,1,4,0.653061224489796,{'C': 0.05}
1,1000,1500,0.99,True,True,True,False,1,1,0.6461538461538462,{'C': 0.05}
337,1000,1500,0.99,False,True,True,True,3,2,0.6126126126126126,{'C': 0.12}
241,1000,1500,0.99,False,True,True,False,3,2,0.7164179104477613,{'C': 0.05}
649,1000,1500,0.99,False,True,True,False,3,4,0.6562499999999999,{'C': 0.05}
745,1000,1500,0.99,False,True,True,True,3,4,0.6521739130434783,{'C': 0.05}
553,1000,1500,0.99,False,True,True,True,3,3,0.6095238095238096,{'C': 0.05}
145,1000,1500,0.99,False,True,True,True,3,1,0.6296296296296297,{'C': 0.12}
457,1000,1500,0.99,False,True,True,False,3,3,0.6562499999999999,{'C': 1}
25,1000,1500,0.99,True,True,False,False,1,1,0.6461538461538462,{'C': 0.05}
769,1000,1500,0.99,False,True,False,True,3,4,0.6451612903225806,{'C': 0.12}
265,1000,1500,0.99,False,True,False,False,3,2,0.6969696969696971,{'C': 0.05}
673,1000,1500,0.99,False,True,False,False,3,4,0.6562499999999999,{'C': 0.25}
361,1000,1500,0.99,False,True,False,True,3,2,0.6181818181818182,{'C': 0.12}
481,1000,1500,0.99,False,True,False,False,3,3,0.625,{'C': 0.05}
577,1000,1500,0.99,False,True,False,True,3,3,0.6226415094339622,{'C': 0.05}
169,1000,1500,0.99,False,True,False,True,3,1,0.6355140186915889,{'C': 0.12}
698,1000,1200,0.99,True,True,True,True,1,4,0.6741573033707865,{'C': 1}
194,1000,1200,0.99,True,True,True,False,1,2,0.7222222222222222,{'C': 0.05}
602,1000,1200,0.99,True,True,True,False,1,4,0.6153846153846153,{'C': 0.05}
290,1000,1200,0.99,True,True,True,True,1,2,0.6999999999999998,{'C': 0.05}
49,1000,1500,0.99,False,True,True,False,3,1,0.7058823529411764,{'C': 0.05}
506,1000,1200,0.99,True,True,True,True,1,3,0.7096774193548387,{'C': 0.05}
386,1000,1200,0.99,True,True,True,False,1,3,0.625,{'C': 0.05}
722,1000,1200,0.99,True,True,False,True,1,4,0.6818181818181819,{'C': 0.05}
98,1000,1200,0.99,True,True,True,True,1,1,0.7311827956989247,{'C': 0.12}
218,1000,1200,0.99,True,True,False,False,1,2,0.7142857142857144,{'C': 0.05}
626,1000,1200,0.99,True,True,False,False,1,4,0.6567164179104478,{'C': 0.05}
314,1000,1200,0.99,True,True,False,True,1,2,0.712871287128713,{'C': 0.05}
530,1000,1200,0.99,True,True,False,True,1,3,0.6875,{'C': 0.05}
434,1000,1200,0.99,True,True,False,False,1,3,0.6129032258064516,{'C': 0.5}
122,1000,1200,0.99,True,True,False,True,1,1,0.7311827956989247,{'C': 0.12}
746,1000,1200,0.99,False,True,True,True,3,4,0.6896551724137931,{'C': 0.05}
242,1000,1200,0.99,False,True,True,False,3,2,0.7164179104477613,{'C': 0.05}
650,1000,1200,0.99,False,True,True,False,3,4,0.6562499999999999,{'C': 0.05}
338,1000,1200,0.99,False,True,True,True,3,2,0.6285714285714286,{'C': 4}
73,1000,1500,0.99,False,True,False,False,3,1,0.6865671641791045,{'C': 0.25}
770,1000,1200,0.99,False,True,False,True,3,4,0.6739130434782609,{'C': 0.05}
554,1000,1200,0.99,False,True,True,True,3,3,0.6407766990291263,{'C': 0.05}
458,1000,1200,0.99,False,True,True,False,3,3,0.676923076923077,{'C': 0.05}
146,1000,1200,0.99,False,True,True,True,3,1,0.6213592233009708,{'C': 0.12}
266,1000,1200,0.99,False,True,False,False,3,2,0.6969696969696971,{'C': 0.05}
699,1000,800,0.99,True,True,True,True,1,4,0.48598130841121495,{'C': 0.05}
674,1000,1200,0.99,False,True,False,False,3,4,0.6349206349206349,{'C': 0.5}
2,1000,1200,0.99,True,True,True,False,1,1,0.6461538461538462,{'C': 0.05}
362,1000,1200,0.99,False,True,False,True,3,2,0.6407766990291263,{'C': 0.25}
723,1000,800,0.99,True,True,False,True,1,4,0.4814814814814815,{'C': 0.05}
195,1000,800,0.99,True,True,True,False,1,2,0.7142857142857144,{'C': 0.05}
578,1000,1200,0.99,False,True,False,True,3,3,0.6168224299065421,{'C': 0.05}
603,1000,800,0.99,True,True,True,False,1,4,0.5714285714285715,{'C': 0.05}
482,1000,1200,0.99,False,True,False,False,3,3,0.6562499999999999,{'C': 0.05}
170,1000,1200,0.99,False,True,False,True,3,1,0.6213592233009708,{'C': 0.12}
291,1000,800,0.99,True,True,True,True,1,2,0.6862745098039217,{'C': 0.05}
26,1000,1200,0.99,True,True,False,False,1,1,0.6461538461538462,{'C': 0.05}
219,1000,800,0.99,True,True,False,False,1,2,0.6764705882352942,{'C': 0.05}
507,1000,800,0.99,True,True,True,True,1,3,0.4745762711864407,{'C': 0.05}
627,1000,800,0.99,True,True,False,False,1,4,0.6031746031746033,{'C': 0.05}
747,1000,800,0.99,False,True,True,True,3,4,0.5490196078431373,{'C': 0.05}
99,1000,800,0.99,True,True,True,True,1,1,0.712871287128713,{'C': 0.05}
387,1000,800,0.99,True,True,True,False,1,3,0.5666666666666667,{'C': 0.25}
315,1000,800,0.99,True,True,False,True,1,2,0.6796116504854369,{'C': 0.05}
531,1000,800,0.99,True,True,False,True,1,3,0.45762711864406774,{'C': 0.05}
123,1000,800,0.99,True,True,False,True,1,1,0.7058823529411764,{'C': 0.05}
435,1000,800,0.99,True,True,False,False,1,3,0.5517241379310345,{'C': 0.25}
243,1000,800,0.99,False,True,True,False,3,2,0.7164179104477613,{'C': 0.05}
771,1000,800,0.99,False,True,False,True,3,4,0.5490196078431373,{'C': 0.05}
50,1000,1200,0.99,False,True,True,False,3,1,0.7058823529411764,{'C': 0.05}
651,1000,800,0.99,False,True,True,False,3,4,0.6969696969696971,{'C': 2}
339,1000,800,0.99,False,True,True,True,3,2,0.6857142857142857,{'C': 0.05}
700,1500,1000,0.99,True,True,True,True,1,4,0.4821428571428571,{'C': 0.05}
555,1000,800,0.99,False,True,True,True,3,3,0.5042016806722689,{'C': 0.05}
267,1000,800,0.99,False,True,False,False,3,2,0.6969696969696971,{'C': 0.05}
147,1000,800,0.99,False,True,True,True,3,1,0.6857142857142857,{'C': 0.05}
459,1000,800,0.99,False,True,True,False,3,3,0.676923076923077,{'C': 0.05}
675,1000,800,0.99,False,True,False,False,3,4,0.6865671641791045,{'C': 0.05}
74,1000,1200,0.99,False,True,False,False,3,1,0.6865671641791045,{'C': 0.05}
363,1000,800,0.99,False,True,False,True,3,2,0.6990291262135923,{'C': 0.05}
724,1500,1000,0.99,True,True,False,True,1,4,0.48648648648648646,{'C': 0.05}
196,1500,1000,0.99,True,True,True,False,1,2,0.6764705882352942,{'C': 0.05}
579,1000,800,0.99,False,True,False,True,3,3,0.5042016806722689,{'C': 0.05}
604,1500,1000,0.99,True,True,True,False,1,4,0.6031746031746033,{'C': 0.05}
171,1000,800,0.99,False,True,False,True,3,1,0.6792452830188679,{'C': 0.05}
3,1000,800,0.99,True,True,True,False,1,1,0.6363636363636365,{'C': 0.05}
483,1000,800,0.99,False,True,False,False,3,3,0.6562499999999999,{'C': 0.12}
292,1500,1000,0.99,True,True,True,True,1,2,0.5384615384615385,{'C': 0.05}
220,1500,1000,0.99,True,True,False,False,1,2,0.676923076923077,{'C': 0.05}
748,1500,1000,0.99,False,True,True,True,3,4,0.5,{'C': 0.05}
27,1000,800,0.99,True,True,False,False,1,1,0.6461538461538462,{'C': 0.12}
508,1500,1000,0.99,True,True,True,True,1,3,0.4516129032258065,{'C': 0.05}
628,1500,1000,0.99,True,True,False,False,1,4,0.6129032258064516,{'C': 0.05}
100,1500,1000,0.99,True,True,True,True,1,1,0.5312499999999999,{'C': 0.05}
388,1500,1000,0.99,True,True,True,False,1,3,0.5806451612903225,{'C': 0.05}
316,1500,1000,0.99,True,True,False,True,1,2,0.5343511450381678,{'C': 0.05}
51,1000,800,0.99,False,True,True,False,3,1,0.6969696969696971,{'C': 0.12}
532,1500,1000,0.99,True,True,False,True,1,3,0.4640000000000001,{'C': 0.05}
124,1500,1000,0.99,True,True,False,True,1,1,0.523076923076923,{'C': 0.05}
772,1500,1000,0.99,False,True,False,True,3,4,0.514851485148515,{'C': 0.05}
