Num_exp,Num_feat1,Num_feat2,Tau,Dif,Fuzzy,Remove_stop,Compress,Chose,Dic,F1,Best_parameter
1,1500,1500,0.99,False,False,False,False,2,1,0.575107296137339,{'C': 0.05}
5,1500,1500,0.99,False,False,False,False,3,1,0.5702127659574469,{'C': 0.05}
9,1500,1500,0.99,False,False,False,False,2,2,0.5840707964601769,{'C': 0.05}
13,1500,1500,0.99,False,False,False,False,3,2,0.5789473684210525,{'C': 0.05}
2,1700,1500,0.99,False,False,False,False,2,1,0.5333333333333333,{'C': 4}
6,1700,1500,0.99,False,False,False,False,3,1,0.5361702127659576,{'C': 0.12}
33,1500,1500,0.99,False,False,False,False,2,5,0.456140350877193,{'C': 0.05}
17,1500,1500,0.99,False,False,False,False,2,3,0.5338983050847458,{'C': 0.05}
10,1700,1500,0.99,False,False,False,False,2,2,0.5714285714285714,{'C': 0.05}
37,1500,1500,0.99,False,False,False,False,3,5,0.45217391304347826,{'C': 0.25}
21,1500,1500,0.99,False,False,False,False,3,3,0.5338983050847458,{'C': 0.05}
14,1700,1500,0.99,False,False,False,False,3,2,0.5714285714285714,{'C': 0.05}
41,1500,1500,0.99,False,False,False,False,2,6,0.5176470588235293,{'C': 0.05}
25,1500,1500,0.99,False,False,False,False,2,4,0.5531914893617021,{'C': 0.05}
3,1000,1300,0.99,False,True,True,False,2,1,0.5062240663900415,{'C': 0.05}
45,1500,1500,0.99,False,False,False,False,3,6,0.5193798449612403,{'C': 0.05}
29,1500,1500,0.99,False,False,False,False,3,4,0.5593220338983051,{'C': 0.05}
7,1000,1300,0.99,False,True,True,False,3,1,0.5102880658436214,{'C': 0.05}
34,1700,1500,0.99,False,False,False,False,2,5,0.4892703862660944,{'C': 0.05}
18,1700,1500,0.99,False,False,False,False,2,3,0.5355648535564853,{'C': 0.05}
38,1700,1500,0.99,False,False,False,False,3,5,0.4913793103448275,{'C': 0.05}
22,1700,1500,0.99,False,False,False,False,3,3,0.5355648535564853,{'C': 0.05}
42,1700,1500,0.99,False,False,False,False,2,6,0.4980237154150198,{'C': 0.05}
26,1700,1500,0.99,False,False,False,False,2,4,0.5579399141630902,{'C': 4}
46,1700,1500,0.99,False,False,False,False,3,6,0.49805447470817116,{'C': 0.05}
30,1700,1500,0.99,False,False,False,False,3,4,0.5579399141630902,{'C': 0.05}
35,1000,1300,0.99,False,True,True,False,2,5,0.43859649122807015,{'C': 0.05}
19,1000,1300,0.99,False,True,True,False,2,3,0.5493562231759657,{'C': 0.05}
39,1000,1300,0.99,False,True,True,False,3,5,0.44541484716157204,{'C': 0.05}
23,1000,1300,0.99,False,True,True,False,3,3,0.547008547008547,{'C': 0.05}
43,1000,1300,0.99,False,True,True,False,2,6,0.0,{'C': 0.12}
27,1000,1300,0.99,False,True,True,False,2,4,0.0,{'C': 0.05}
47,1000,1300,0.99,False,True,True,False,3,6,0.5103448275862069,{'C': 0.05}
36,500,500,0.99,False,True,True,False,2,5,0.38022813688212925,{'C': 0.05}
31,1000,1300,0.99,False,True,True,False,3,4,0.5569620253164557,{'C': 0.05}
20,500,500,0.99,False,True,True,False,2,3,0.41007194244604317,{'C': 0.05}
40,500,500,0.99,False,True,True,False,3,5,0.3908045977011495,{'C': 0.05}
44,500,500,0.99,False,True,True,False,2,6,0.0,{'C': 0.05}
24,500,500,0.99,False,True,True,False,3,3,0.4206642066420664,{'C': 0.05}
28,500,500,0.99,False,True,True,False,2,4,0.0,{'C': 0.05}
48,500,500,0.99,False,True,True,False,3,6,0.4724409448818898,{'C': 0.05}
32,500,500,0.99,False,True,True,False,3,4,0.41328413284132837,{'C': 0.05}
9,1500,1500,0.99,False,False,False,False,2,2,0.5840707964601769,{'C': 0.05}
49,1500,1500,0.85,False,False,False,False,2,1,0.49477351916376305,{'C': 0.12}
53,1500,1500,0.85,False,False,False,False,3,1,0.5423728813559322,{'C': 0.05}
13,1500,1500,0.99,False,False,False,False,3,2,0.5789473684210525,{'C': 0.05}
57,1500,1500,0.85,False,False,False,False,2,2,0.5338645418326693,{'C': 0.25}
10,1700,1500,0.99,False,False,False,False,2,2,0.5714285714285714,{'C': 0.05}
61,1500,1500,0.85,False,False,False,False,3,2,0.5414847161572052,{'C': 0.05}
14,1700,1500,0.99,False,False,False,False,3,2,0.5714285714285714,{'C': 0.05}
50,1700,1500,0.85,False,False,False,False,2,1,0.5035460992907801,{'C': 0.25}
11,1000,1300,0.99,False,True,True,False,2,2,0.0,{'C': 0.25}
54,1700,1500,0.85,False,False,False,False,3,1,0.5702127659574469,{'C': 0.05}
15,1000,1300,0.99,False,True,True,False,3,2,0.4978540772532189,{'C': 0.12}
12,500,500,0.99,False,True,True,False,2,2,0.0,{'C': 0.25}
58,1700,1500,0.85,False,False,False,False,2,2,0.5238095238095238,{'C': 0.5}
16,500,500,0.99,False,True,True,False,3,2,0.47653429602888087,{'C': 0.05}
62,1700,1500,0.85,False,False,False,False,3,2,0.5486725663716815,{'C': 0.05}
51,1000,1300,0.85,False,True,True,False,2,1,0.4710144927536232,{'C': 0.05}
55,1000,1300,0.85,False,True,True,False,3,1,0.49565217391304345,{'C': 0.05}
59,1000,1300,0.85,False,True,True,False,2,2,0.0,{'C': 0.05}
63,1000,1300,0.85,False,True,True,False,3,2,0.512396694214876,{'C': 0.05}
52,500,500,0.85,False,True,True,False,2,1,0.45296167247386754,{'C': 2}
56,500,500,0.85,False,True,True,False,3,1,0.4705882352941177,{'C': 0.25}
60,500,500,0.85,False,True,True,False,2,2,0.0,{'C': 0.05}
64,500,500,0.85,False,True,True,False,3,2,0.4701754385964912,{'C': 0.05}
65,1500,1500,0.85,True,False,False,False,2,1,0.5034965034965034,{'C': 0.12}
69,1500,1500,0.85,True,False,False,False,3,1,0.4920634920634921,{'C': 0.05}
73,1500,1500,0.85,True,False,False,False,2,2,0.4742268041237113,{'C': 1}
77,1500,1500,0.85,True,False,False,False,3,2,0.4710743801652892,{'C': 0.05}
66,1700,1500,0.85,True,False,False,False,2,1,0.4842105263157894,{'C': 1}
70,1700,1500,0.85,True,False,False,False,3,1,0.4958677685950413,{'C': 0.05}
74,1700,1500,0.85,True,False,False,False,2,2,0.4625850340136054,{'C': 0.25}
78,1700,1500,0.85,True,False,False,False,3,2,0.4602510460251046,{'C': 1}
67,1000,1300,0.85,True,True,True,False,2,1,0.491103202846975,{'C': 0.05}
71,1000,1300,0.85,True,True,True,False,3,1,0.46031746031746035,{'C': 0.05}
75,1000,1300,0.85,True,True,True,False,2,2,0.0,{'C': 0.05}
79,1000,1300,0.85,True,True,True,False,3,2,0.45454545454545453,{'C': 0.05}
68,500,500,0.85,True,True,True,False,2,1,0.4076433121019108,{'C': 0.05}
72,500,500,0.85,True,True,True,False,3,1,0.3888888888888889,{'C': 0.05}
76,500,500,0.85,True,True,True,False,2,2,0.0,{'C': 0.05}
80,500,500,0.85,True,True,True,False,3,2,0.3725490196078432,{'C': 0.05}
