	min	max	num_feat	weighting	best_parameter	f1
1	1	1	4000	tf_stop	{'C': 0.05}	0.7714285714285715
2	2	2	3000	tf_stop	{'C': 4}	0.5357142857142857
3	1	2	500	tf_stop	{'C': 4}	0.8205128205128206
4	1	3	2000	tf_stop	{'C': 4}	0.810126582278481
5	1	3	1500	tf_idf	{'C': 4}	0.7837837837837839
6	1	2	1500	stopwords	{'C': 4}	0.8266666666666665
7	1	2	1500	tf	{'C': 0.05}	0.8
8	1	3	1500	tf	{'C': 1}	0.8157894736842105
9	1	1	2000	tf_idf	{'C': 0.05}	0.7887323943661972
10	1	1	1400	stopwords	{'C': 0.12}	0.7714285714285715
11	2	2	1200	tf_idf	{'C': 4}	0.6666666666666667
12	2	2	1500	binary	{'C': 0.05}	0.5757575757575758
13	1	2	1200	binary	{'C': 0.05}	0.6153846153846153
14	1	3	1500	binary	{'C': 0.05}	0.6129032258064516
15	2	3	1500	binary	{'C': 0.05}	0.5806451612903225
16	2	3	1500	tf_idf	{'C': 2}	0.6562499999999999
17	2	3	1500	stopwprds	{'C': 2}	0.6562499999999999
