	score1	score2	tol	remove_stop	fuzzy	no_dist	svm	compress	best	f1	wors_pos	words_neg	concatenate	word_embedding
97	0.0003	0.0003	0.99	True	True	True	True	True	{'C': 0.12}	0.45801526717557256	266	1317	True	1
98	0.0003	0.0001	0.99	True	True	True	True	True	{'C': 0.12}	0.6476190476190476	266	583	True	1
99	0.0001	5e-05	0.99	True	True	True	True	True	{'C': 0.5}	0.6599999999999999	111	362	True	1
100	5e-05	5e-05	0.99	True	True	True	True	True	{'C': 0.5}	0.6422018348623854	64	362	True	1
101	5e-05	1e-05	0.99	True	True	True	True	True	{'C': 1}	0.712871287128713	64	83	True	1
102	0.007	0.003	0.99	True	True	True	True	True	{'C': 0.12}	0.5370370370370371	2648	5875	True	1
103	0.0003	0.0003	0.99	True	False	True	True	True	{'C': 0.12}	0.45801526717557256	266	1317	True	1
104	0.0003	0.0001	0.99	True	False	True	True	True	{'C': 0.12}	0.6476190476190476	266	583	True	1
105	0.0001	5e-05	0.99	True	False	True	True	True	{'C': 0.5}	0.6599999999999999	111	362	True	1
106	5e-05	5e-05	0.99	True	False	True	True	True	{'C': 0.5}	0.6422018348623854	64	362	True	1
107	5e-05	1e-05	0.99	True	False	True	True	True	{'C': 1}	0.712871287128713	64	83	True	1
108	0.007	0.003	0.99	True	False	True	True	True	{'C': 0.12}	0.5370370370370371	2648	5875	True	1
109	0.0003	0.0003	0.99	False	True	True	True	True	{'C': 0.5}	0.44961240310077516	266	1317	True	1
110	0.0003	0.0001	0.99	False	True	True	True	True	{'C': 0.25}	0.6599999999999999	266	583	True	1
111	0.0001	5e-05	0.99	False	True	True	True	True	{'C': 0.25}	0.6666666666666667	111	362	True	1
112	5e-05	5e-05	0.99	False	True	True	True	True	{'C': 0.5}	0.6415094339622641	64	362	True	1
113	5e-05	1e-05	0.99	False	True	True	True	True	{'C': 0.05}	0.7047619047619048	64	83	True	1
114	0.007	0.003	0.99	False	True	True	True	True	{'C': 0.05}	0.5309734513274336	2648	5875	True	1
115	0.0003	0.0003	0.99	False	False	True	True	True	{'C': 0.5}	0.44961240310077516	266	1317	True	1
116	0.0003	0.0001	0.99	False	False	True	True	True	{'C': 0.25}	0.6599999999999999	266	583	True	1
117	0.0001	5e-05	0.99	False	False	True	True	True	{'C': 0.25}	0.6666666666666667	111	362	True	1
118	5e-05	5e-05	0.99	False	False	True	True	True	{'C': 0.5}	0.6415094339622641	64	362	True	1
119	5e-05	1e-05	0.99	False	False	True	True	True	{'C': 0.05}	0.7047619047619048	64	83	True	1
120	0.007	0.003	0.99	False	False	True	True	True	{'C': 0.05}	0.5309734513274336	2648	5875	True	1
121	0.0003	0.0003	0.99	True	True	False	True	True	{'C': 0.05}	0.7378640776699029	79	1296	True	1
122	0.0003	0.0001	0.99	True	True	False	True	True	{'C': 0.05}	0.6434782608695653	87	572	True	1
123	0.0001	5e-05	0.99	True	True	False	True	True	{'C': 0.05}	0.6666666666666666	39	357	True	1
124	5e-05	5e-05	0.99	True	True	False	True	True	{'C': 0.05}	0.7090909090909091	18	357	True	1
125	5e-05	1e-05	0.99	True	True	False	True	True	{'C': 0.05}	0.65	32	82	True	1
126	0.007	0.003	0.99	True	True	False	True	True	{'C': 0.05}	0.8045977011494252	515	5745	True	1
127	0.0003	0.0003	0.99	True	False	False	True	True	{'C': 0.05}	0.7378640776699029	79	1296	True	1
128	0.0003	0.0001	0.99	True	False	False	True	True	{'C': 0.05}	0.6434782608695653	87	572	True	1
129	0.0001	5e-05	0.99	True	False	False	True	True	{'C': 0.05}	0.6666666666666666	39	357	True	1
130	5e-05	5e-05	0.99	True	False	False	True	True	{'C': 0.05}	0.7090909090909091	18	357	True	1
131	5e-05	1e-05	0.99	True	False	False	True	True	{'C': 0.05}	0.65	32	82	True	1
132	0.007	0.003	0.99	True	False	False	True	True	{'C': 0.05}	0.8045977011494252	515	5745	True	1
133	0.0003	0.0003	0.99	False	True	False	True	True	{'C': 0.05}	0.7450980392156863	79	1296	True	1
134	0.0003	0.0001	0.99	False	True	False	True	True	{'C': 0.05}	0.6153846153846154	87	572	True	1
135	0.0001	5e-05	0.99	False	True	False	True	True	{'C': 0.05}	0.6371681415929205	39	357	True	1
136	5e-05	5e-05	0.99	False	True	False	True	True	{'C': 0.05}	0.7027027027027027	18	357	True	1
137	5e-05	1e-05	0.99	False	True	False	True	True	{'C': 0.12}	0.596774193548387	32	82	True	1
138	0.007	0.003	0.99	False	True	False	True	True	{'C': 0.25}	0.8045977011494252	515	5745	True	1
139	0.0003	0.0003	0.99	False	False	False	True	True	{'C': 0.05}	0.7450980392156863	79	1296	True	1
140	0.0003	0.0001	0.99	False	False	False	True	True	{'C': 0.05}	0.6153846153846154	87	572	True	1
141	0.0001	5e-05	0.99	False	False	False	True	True	{'C': 0.05}	0.6371681415929205	39	357	True	1
142	5e-05	5e-05	0.99	False	False	False	True	True	{'C': 0.05}	0.7027027027027027	18	357	True	1
143	5e-05	1e-05	0.99	False	False	False	True	True	{'C': 0.12}	0.596774193548387	32	82	True	1
144	0.007	0.003	0.99	False	False	False	True	True	{'C': 0.5}	0.8045977011494252	515	5745	True	1
