,score1,score2,tol,remove_stop,fuzzy,no_dist,svm,compress,best,f1,words_pos,words_neg,concatenate,word_emebdding
1137,5E-05,1E-05,0.99,False,True,False,True,False,{'C': 0.05},0.795454545454545,32,82,True,3
1143,5E-05,1E-05,0.99,False,False,False,True,False,{'C': 0.05},0.795454545454545,32,82,True,3
1125,5E-05,1E-05,0.99,True,True,False,True,False,{'C': 0.05},0.791208791208791,32,82,True,3
1131,5E-05,1E-05,0.99,True,False,False,True,False,{'C': 0.05},0.791208791208791,32,82,True,3
1113,5E-05,1E-05,0.99,False,True,True,True,False,{'C': 0.05},0.769230769230769,64,83,True,3
1119,5E-05,1E-05,0.99,False,False,True,True,False,{'C': 0.05},0.769230769230769,64,83,True,3
1136,5E-05,5E-05,0.99,False,True,False,True,False,{'C': 0.05},0.765432098765432,18,357,True,3
1142,5E-05,5E-05,0.99,False,False,False,True,False,{'C': 0.05},0.765432098765432,18,357,True,3
1101,5E-05,1E-05,0.99,True,True,True,True,False,{'C': 0.05},0.760869565217391,64,83,True,3
1107,5E-05,1E-05,0.99,True,False,True,True,False,{'C': 0.05},0.760869565217391,64,83,True,3
1122,0.0003,0.0001,0.99,True,True,False,True,False,{'C': 2},0.756756756756757,87,572,True,3
1128,0.0003,0.0001,0.99,True,False,False,True,False,{'C': 2},0.756756756756757,87,572,True,3
1112,5E-05,5E-05,0.99,False,True,True,True,False,{'C': 0.05},0.75609756097561,64,362,True,3
1118,5E-05,5E-05,0.99,False,False,True,True,False,{'C': 0.05},0.75609756097561,64,362,True,3
1124,5E-05,5E-05,0.99,True,True,False,True,False,{'C': 0.05},0.75609756097561,18,357,True,3
1130,5E-05,5E-05,0.99,True,False,False,True,False,{'C': 0.05},0.75609756097561,18,357,True,3
1123,0.0001,5E-05,0.99,True,True,False,True,False,{'C': 0.05},0.75,39,357,True,3
1129,0.0001,5E-05,0.99,True,False,False,True,False,{'C': 0.05},0.75,39,357,True,3
1099,0.0001,5E-05,0.99,True,True,True,True,False,{'C': 0.05},0.740740740740741,111,362,True,3
1105,0.0001,5E-05,0.99,True,False,True,True,False,{'C': 0.05},0.740740740740741,111,362,True,3
1110,0.0003,0.0001,0.99,False,True,True,True,False,{'C': 0.05},0.736842105263158,266,583,True,3
1116,0.0003,0.0001,0.99,False,False,True,True,False,{'C': 0.05},0.736842105263158,266,583,True,3
1134,0.0003,0.0001,0.99,False,True,False,True,False,{'C': 2},0.736842105263158,87,572,True,3
1140,0.0003,0.0001,0.99,False,False,False,True,False,{'C': 2},0.736842105263158,87,572,True,3
1135,0.0001,5E-05,0.99,False,True,False,True,False,{'C': 0.05},0.734177215189873,39,357,True,3
1141,0.0001,5E-05,0.99,False,False,False,True,False,{'C': 0.05},0.734177215189873,39,357,True,3
1100,5E-05,5E-05,0.99,True,True,True,True,False,{'C': 0.05},0.731707317073171,64,362,True,3
1106,5E-05,5E-05,0.99,True,False,True,True,False,{'C': 0.05},0.731707317073171,64,362,True,3
1098,0.0003,0.0001,0.99,True,True,True,True,False,{'C': 0.25},0.72972972972973,266,583,True,3
1104,0.0003,0.0001,0.99,True,False,True,True,False,{'C': 0.25},0.72972972972973,266,583,True,3
1111,0.0001,5E-05,0.99,False,True,True,True,False,{'C': 0.05},0.708860759493671,111,362,True,3
1117,0.0001,5E-05,0.99,False,False,True,True,False,{'C': 0.05},0.708860759493671,111,362,True,3
1121,0.0003,0.0003,0.99,True,True,False,True,False,{'C': 0.12},0.705882352941176,79,1296,True,3
1127,0.0003,0.0003,0.99,True,False,False,True,False,{'C': 0.12},0.705882352941176,79,1296,True,3
1102,0.007,0.003,0.99,True,True,True,True,False,{'C': 0.25},0.696969696969697,2648,5875,True,3
1108,0.007,0.003,0.99,True,False,True,True,False,{'C': 0.25},0.696969696969697,2648,5875,True,3
1114,0.007,0.003,0.99,False,True,True,True,False,{'C': 0.05},0.696969696969697,2648,5875,True,3
1120,0.007,0.003,0.99,False,False,True,True,False,{'C': 0.05},0.696969696969697,2648,5875,True,3
1138,0.007,0.003,0.99,False,True,False,True,False,{'C': 0.05},0.696969696969697,515,5745,True,3
1144,0.007,0.003,0.99,False,False,False,True,False,{'C': 0.05},0.696969696969697,515,5745,True,3
1097,0.0003,0.0003,0.99,True,True,True,True,False,{'C': 0.05},0.695652173913043,266,1317,True,3
1103,0.0003,0.0003,0.99,True,False,True,True,False,{'C': 0.05},0.695652173913043,266,1317,True,3
1109,0.0003,0.0003,0.99,False,True,True,True,False,{'C': 0.05},0.695652173913043,266,1317,True,3
1115,0.0003,0.0003,0.99,False,False,True,True,False,{'C': 0.05},0.695652173913043,266,1317,True,3
1133,0.0003,0.0003,0.99,False,True,False,True,False,{'C': 0.05},0.686567164179104,79,1296,True,3
1139,0.0003,0.0003,0.99,False,False,False,True,False,{'C': 0.05},0.686567164179104,79,1296,True,3
1126,0.007,0.003,0.99,True,True,False,True,False,{'C': 0.05},0.676923076923077,515,5745,True,3
1132,0.007,0.003,0.99,True,False,False,True,False,{'C': 0.05},0.676923076923077,515,5745,True,3
