	tol	num_feats	remove_stop	compress	svm	fuzzy	f1
1	0.99	500	False	False	False	Fuzzy	0.7848101265822786
2	0.99	1000	False	False	False	Fuzzy	0.7804878048780488
3	0.99	2000	False	False	False	Fuzzy	0.8045977011494252
4	0.99	2200	False	False	False	Fuzzy	0.7727272727272727
5	0.99	2500	False	False	False	Fuzzy	0.8048780487804877
6	0.99	3000	False	False	False	Fuzzy	0.7710843373493976
7	0.99	4500	False	False	False	Fuzzy	0.810126582278481
8	0.99	5000	False	False	False	Fuzzy	0.8051948051948052
9	0.99	5100	False	False	False	Fuzzy	0.8051948051948052
10	0.99	500	True	False	False	Fuzzy	0.7848101265822786
11	0.99	1000	True	False	False	Fuzzy	0.8095238095238095
12	0.99	2000	True	False	False	Fuzzy	0.8045977011494252
13	0.99	2200	True	False	False	Fuzzy	0.7727272727272727
14	0.99	2500	True	False	False	Fuzzy	0.8192771084337348
15	0.99	3000	True	False	False	Fuzzy	0.7710843373493976
16	0.99	4500	True	False	False	Fuzzy	0.810126582278481
17	0.99	5000	True	False	False	Fuzzy	0.8051948051948052
18	0.99	5100	True	False	False	Fuzzy	0.8051948051948052
19	0.99	500	False	False	False	no-Fuzzy	0.7848101265822786
20	0.99	1000	False	False	False	no-Fuzzy	0.761904761904762
21	0.99	2000	False	False	False	no-Fuzzy	0.8045977011494252
22	0.99	2200	False	False	False	no-Fuzzy	0.7865168539325843
23	0.99	2500	False	False	False	no-Fuzzy	0.8192771084337348
24	0.99	3000	False	False	False	no-Fuzzy	0.7441860465116279
25	0.99	4500	False	False	False	no-Fuzzy	0.810126582278481
26	0.99	5000	False	False	False	no-Fuzzy	0.8205128205128206
27	0.99	5100	False	False	False	no-Fuzzy	0.8205128205128206
28	0.99	500	True	False	False	no-Fuzzy	0.7848101265822786
29	0.99	1000	True	False	False	no-Fuzzy	0.7906976744186047
30	0.99	2000	True	False	False	no-Fuzzy	0.8045977011494252
31	0.99	2200	True	False	False	no-Fuzzy	0.7727272727272727
32	0.99	2500	True	False	False	no-Fuzzy	0.8095238095238095
33	0.99	3000	True	False	False	no-Fuzzy	0.7441860465116279
34	0.99	4500	True	False	False	no-Fuzzy	0.810126582278481
35	0.99	5000	True	False	False	no-Fuzzy	0.8205128205128206
36	0.99	5100	True	False	False	no-Fuzzy	0.8205128205128206
