	tol	num_feats	remove_stop	compress	svm	fuzzy	best	f1
1	0.99	500	False	False	True	Fuzzy	{'C': 0.05}	0.72
2	0.99	1000	False	False	True	Fuzzy	{'C': 0.05}	0.6764705882352942
3	0.99	2000	False	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
4	0.99	2200	False	False	True	Fuzzy	{'C': 0.05}	0.676923076923077
5	0.99	2500	False	False	True	Fuzzy	{'C': 0.05}	0.676923076923077
6	0.99	3000	False	False	True	Fuzzy	{'C': 0.05}	0.7164179104477613
7	0.99	4500	False	False	True	Fuzzy	{'C': 1}	0.6349206349206349
8	0.99	5000	False	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
9	0.99	5100	False	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
10	0.99	500	True	False	True	Fuzzy	{'C': 0.05}	0.7466666666666667
11	0.99	1000	True	False	True	Fuzzy	{'C': 0.05}	0.6857142857142856
12	0.99	2000	True	False	True	Fuzzy	{'C': 0.05}	0.7352941176470589
13	0.99	2200	True	False	True	Fuzzy	{'C': 0.05}	0.7164179104477613
14	0.99	2500	True	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
15	0.99	3000	True	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
16	0.99	4500	True	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
17	0.99	5000	True	False	True	Fuzzy	{'C': 0.05}	0.676923076923077
18	0.99	5100	True	False	True	Fuzzy	{'C': 0.05}	0.676923076923077
19	0.99	500	False	False	True	No-Fuzzy	{'C': 0.05}	0.72
20	0.99	1000	False	False	True	No-Fuzzy	{'C': 0.05}	0.6764705882352942
21	0.99	2000	False	False	True	No-Fuzzy	{'C': 0.05}	0.6969696969696971
22	0.99	2200	False	False	True	No-Fuzzy	{'C': 0.05}	0.676923076923077
23	0.99	2500	False	False	True	No-Fuzzy	{'C': 0.05}	0.676923076923077
24	0.99	3000	False	False	True	No-Fuzzy	{'C': 0.05}	0.7164179104477613
25	0.99	4500	False	False	True	No-Fuzzy	{'C': 1}	0.6349206349206349
26	0.99	5000	False	False	True	No-Fuzzy	{'C': 0.05}	0.6969696969696971
27	0.99	5100	False	False	True	No-Fuzzy	{'C': 0.05}	0.6969696969696971
28	0.99	500	True	False	True	No-fuzzy	{'C': 0.05}	0.7466666666666667
29	0.99	1000	True	False	True	No-fuzzy	{'C': 0.05}	0.6857142857142856
30	0.99	2000	True	False	True	No-fuzzy	{'C': 0.05}	0.7352941176470589
31	0.99	2200	True	False	True	No-fuzzy	{'C': 0.05}	0.7164179104477613
32	0.99	2500	True	False	True	No-fuzzy	{'C': 0.05}	0.6969696969696971
33	0.99	3000	True	False	True	No-fuzzy	{'C': 0.05}	0.6969696969696971
34	0.99	4500	True	False	True	No-fuzzy	{'C': 0.05}	0.6969696969696971
35	0.99	5000	True	False	True	No-fuzzy	{'C': 0.05}	0.676923076923077
36	0.99	5100	True	False	True	No-fuzzy	{'C': 0.05}	0.676923076923077
