	tol	num_feats	remove_stop	compress	svm	fuzzy	f1
3	0.99	2000	False	False	False	Fuzzy	0.8045977011494252
5	0.99	2500	False	False	False	Fuzzy	0.8048780487804877
7	0.99	4500	False	False	False	Fuzzy	0.810126582278481
8	0.99	5000	False	False	False	Fuzzy	0.8051948051948052
9	0.99	5100	False	False	False	Fuzzy	0.8051948051948052
11	0.99	1000	True	False	False	Fuzzy	0.8095238095238095
12	0.99	2000	True	False	False	Fuzzy	0.8045977011494252
14	0.99	2500	True	False	False	Fuzzy	0.8192771084337348
16	0.99	4500	True	False	False	Fuzzy	0.810126582278481
17	0.99	5000	True	False	False	Fuzzy	0.8051948051948052
18	0.99	5100	True	False	False	Fuzzy	0.8051948051948052
21	0.99	2000	False	False	False	no-Fuzzy	0.8045977011494252
23	0.99	2500	False	False	False	no-Fuzzy	0.8192771084337348
25	0.99	4500	False	False	False	no-Fuzzy	0.810126582278481
26	0.99	5000	False	False	False	no-Fuzzy	0.8205128205128206
27	0.99	5100	False	False	False	no-Fuzzy	0.8205128205128206
29	0.99	1000	True	False	False	no-Fuzzy	0.7906976744186047
30	0.99	2000	True	False	False	no-Fuzzy	0.8045977011494252
32	0.99	2500	True	False	False	no-Fuzzy	0.8095238095238095
34	0.99	4500	True	False	False	no-Fuzzy	0.810126582278481
35	0.99	5000	True	False	False	no-Fuzzy	0.8205128205128206
36	0.99	5100	True	False	False	no-Fuzzy	0.8205128205128206
