	tol	num_feats	remove_stop	compress	svm	fuzzy	f1
1	0.99	500	False	False	False	Fuzzy	0.7297297297297297
2	0.99	1000	False	False	False	Fuzzy	0.7499999999999999
3	0.99	2000	False	False	False	Fuzzy	0.7380952380952381
4	0.99	2200	False	False	False	Fuzzy	0.7499999999999999
5	0.99	2500	False	False	False	Fuzzy	0.7901234567901235
6	0.99	3000	False	False	False	Fuzzy	0.8395061728395061
7	0.99	4500	False	False	False	Fuzzy	0.8051948051948052
8	0.99	5000	False	False	False	Fuzzy	0.7792207792207793
9	0.99	5100	False	False	False	Fuzzy	0.8051948051948052
10	0.99	500	True	False	False	Fuzzy	0.7894736842105263
11	0.99	1000	True	False	False	Fuzzy	0.7594936708860759
12	0.99	2000	True	False	False	Fuzzy	0.7654320987654322
13	0.99	2200	True	False	False	Fuzzy	0.7951807228915663
14	0.99	2500	True	False	False	Fuzzy	0.8
15	0.99	3000	True	False	False	Fuzzy	0.7848101265822786
16	0.99	4500	True	False	False	Fuzzy	0.8051948051948052
17	0.99	5000	True	False	False	Fuzzy	0.810126582278481
18	0.99	5100	True	False	False	Fuzzy	0.8051948051948052
19	0.99	500	False	False	False	No-Fuzzy	0.7297297297297297
20	0.99	1000	False	False	False	No-Fuzzy	0.7499999999999999
21	0.99	2000	False	False	False	No-Fuzzy	0.7380952380952381
22	0.99	2200	False	False	False	No-Fuzzy	0.746987951807229
23	0.99	2500	False	False	False	No-Fuzzy	0.7951807228915663
24	0.99	3000	False	False	False	No-Fuzzy	0.8395061728395061
25	0.99	4500	False	False	False	No-Fuzzy	0.8051948051948052
26	0.99	5000	False	False	False	No-Fuzzy	0.7792207792207793
27	0.99	5100	False	False	False	No-Fuzzy	0.8051948051948052
28	0.99	500	True	False	False	No-Fuzzy	0.7948717948717948
29	0.99	1000	True	False	False	No-Fuzzy	0.7499999999999999
30	0.99	2000	True	False	False	No-Fuzzy	0.7654320987654322
31	0.99	2200	True	False	False	No-Fuzzy	0.7857142857142858
32	0.99	2500	True	False	False	No-Fuzzy	0.8
33	0.99	3000	True	False	False	No-Fuzzy	0.8
34	0.99	4500	True	False	False	No-Fuzzy	0.8051948051948052
35	0.99	5000	True	False	False	No-Fuzzy	0.810126582278481
36	0.99	5100	True	False	False	No-Fuzzy	0.8051948051948052
