	tol	num_feats	remove_stop	compress	svm	fuzzy	best	f1
1	0.99	500	False	True	True	Fuzzy	{'C': 0.12}	0.7499999999999999
2	0.99	1000	False	True	True	Fuzzy	{'C': 0.05}	0.782608695652174
3	0.99	2000	False	True	True	Fuzzy	{'C': 0.25}	0.7291666666666666
4	0.99	2200	False	True	True	Fuzzy	{'C': 0.05}	0.7608695652173912
5	0.99	2500	False	True	True	Fuzzy	{'C': 0.05}	0.7608695652173912
6	0.99	3000	False	True	True	Fuzzy	{'C': 0.05}	0.7472527472527474
7	0.99	4500	False	True	True	Fuzzy	{'C': 0.25}	0.8
8	0.99	5000	False	True	True	Fuzzy	{'C': 0.25}	0.8205128205128206
9	0.99	5100	False	True	True	Fuzzy	{'C': 0.05}	0.8354430379746836
10	0.99	500	True	True	True	Fuzzy	{'C': 0.12}	0.782608695652174
11	0.99	1000	True	True	True	Fuzzy	{'C': 0.05}	0.7912087912087912
12	0.99	2000	True	True	True	Fuzzy	{'C': 0.05}	0.7608695652173912
13	0.99	2200	True	True	True	Fuzzy	{'C': 0.12}	0.7555555555555555
14	0.99	2500	True	True	True	Fuzzy	{'C': 0.12}	0.7415730337078651
15	0.99	3000	True	True	True	Fuzzy	{'C': 0.05}	0.7727272727272727
16	0.99	4500	True	True	True	Fuzzy	{'C': 0.12}	0.8148148148148149
17	0.99	5000	True	True	True	Fuzzy	{'C': 0.12}	0.8051948051948052
18	0.99	5100	True	True	True	Fuzzy	{'C': 4}	0.8
19	0.99	500	False	True	True	No-Fuzzy	{'C': 0.12}	0.7499999999999999
20	0.99	1000	False	True	True	No-Fuzzy	{'C': 0.05}	0.782608695652174
21	0.99	2000	False	True	True	No-Fuzzy	{'C': 0.25}	0.7291666666666666
22	0.99	2200	False	True	True	No-Fuzzy	{'C': 0.05}	0.7608695652173912
23	0.99	2500	False	True	True	No-Fuzzy	{'C': 0.05}	0.7608695652173912
24	0.99	3000	False	True	True	No-Fuzzy	{'C': 0.05}	0.7472527472527474
25	0.99	4500	False	True	True	No-Fuzzy	{'C': 0.25}	0.8
26	0.99	5000	False	True	True	No-Fuzzy	{'C': 0.25}	0.8205128205128206
27	0.99	5100	False	True	True	No-Fuzzy	{'C': 0.05}	0.8354430379746836
28	0.99	500	True	True	True	No-Fuzzy	{'C': 0.12}	0.782608695652174
29	0.99	1000	True	True	True	No-Fuzzy	{'C': 0.05}	0.7912087912087912
30	0.99	2000	True	True	True	No-Fuzzy	{'C': 0.05}	0.7608695652173912
31	0.99	2200	True	True	True	No-Fuzzy	{'C': 0.12}	0.7555555555555555
32	0.99	2500	True	True	True	No-Fuzzy	{'C': 0.12}	0.7415730337078651
33	0.99	3000	True	True	True	No-Fuzzy	{'C': 0.05}	0.7727272727272727
34	0.99	4500	True	True	True	No-Fuzzy	{'C': 0.12}	0.8148148148148149
35	0.99	5000	True	True	True	No-Fuzzy	{'C': 0.12}	0.8051948051948052
36	0.99	5100	True	True	True	No-Fuzzy	{'C': 4}	0.8
