	tol	num_feats	remove_stop	compress	svm	fuzzy	f1
5	0.99	2500	False	False	False	Fuzzy	0.8048780487804877
6	0.99	3000	False	False	False	Fuzzy	0.8250000000000001
7	0.99	4500	False	False	False	Fuzzy	0.810126582278481
9	0.99	5100	False	False	False	Fuzzy	0.8157894736842105
14	0.99	2500	True	False	False	Fuzzy	0.8
15	0.99	3000	True	False	False	Fuzzy	0.8
16	0.99	4500	True	False	False	Fuzzy	0.810126582278481
17	0.99	5000	True	False	False	Fuzzy	0.810126582278481
18	0.99	5100	True	False	False	Fuzzy	0.8051948051948052
23	0.99	2500	False	False	False	no-Fuzzy	0.7951807228915663
24	0.99	3000	False	False	False	no-Fuzzy	0.8250000000000001
25	0.99	4500	False	False	False	no-Fuzzy	0.8
27	0.99	5100	False	False	False	no-Fuzzy	0.8157894736842105
32	0.99	2500	True	False	False	no-Fuzzy	0.8
33	0.99	3000	True	False	False	no-Fuzzy	0.8
34	0.99	4500	True	False	False	no-Fuzzy	0.810126582278481
35	0.99	5000	True	False	False	no-Fuzzy	0.810126582278481
36	0.99	5100	True	False	False	no-Fuzzy	0.7948717948717948
