	score1	score2	tol	remove_stop	fuzzy	no_dist	svm	compress	best	f1	words_pos	words_neg	concatenate	words_embeddings
193	0.0003	0.0003	0.99	True	True	True	True	False	{'C': 0.5}	0.3214285714285715	266	1317	True	1
194	0.0003	0.0001	0.99	True	True	True	True	False	{'C': 4}	0.674698795180723	266	583	True	1
195	0.0001	5e-05	0.99	True	True	True	True	False	{'C': 4}	0.2645161290322581	111	362	True	1
196	5e-05	5e-05	0.99	True	True	True	True	False	{'C': 4}	0.09302325581395349	64	362	True	1
197	5e-05	1e-05	0.99	True	True	True	True	False	{'C': 4}	0.453125	64	83	True	1
198	0.007	0.003	0.99	True	True	True	True	False	{'C': 4}	0.676923076923077	2648	5875	True	1
199	0.0003	0.0003	0.99	True	False	True	True	False	{'C': 0.25}	0.2834008097165992	266	1317	True	1
200	0.0003	0.0001	0.99	True	False	True	True	False	{'C': 2}	0.6666666666666667	266	583	True	1
201	0.0001	5e-05	0.99	True	False	True	True	False	{'C': 4}	0.810126582278481	111	362	True	1
202	5e-05	5e-05	0.99	True	False	True	True	False	{'C': 4}	0.3414634146341463	64	362	True	1
203	5e-05	1e-05	0.99	True	False	True	True	False	{'C': 4}	0.453125	64	83	True	1
204	0.007	0.003	0.99	True	False	True	True	False	{'C': 4}	0.676923076923077	2648	5875	True	1
205	0.0003	0.0003	0.99	False	True	True	True	False	{'C': 1}	0.3209876543209877	266	1317	True	1
206	0.0003	0.0001	0.99	False	True	True	True	False	{'C': 1}	0.5736434108527132	266	583	True	1
207	0.0001	5e-05	0.99	False	True	True	True	False	{'C': 4}	0.7352941176470589	111	362	True	1
208	5e-05	5e-05	0.99	False	True	True	True	False	{'C': 4}	0.4318181818181818	64	362	True	1
209	5e-05	1e-05	0.99	False	True	True	True	False	{'C': 0.12}	0.4166666666666666	64	83	True	1
210	0.007	0.003	0.99	False	True	True	True	False	{'C': 4}	0.676923076923077	2648	5875	True	1
211	0.0003	0.0003	0.99	False	False	True	True	False	{'C': 0.5}	0.32530120481927716	266	1317	True	1
212	0.0003	0.0001	0.99	False	False	True	True	False	{'C': 4}	0.6588235294117647	266	583	True	1
213	0.0001	5e-05	0.99	False	False	True	True	False	{'C': 4}	0.7945205479452054	111	362	True	1
214	5e-05	5e-05	0.99	False	False	True	True	False	{'C': 4}	0.2271468144044321	64	362	True	1
215	5e-05	1e-05	0.99	False	False	True	True	False	{'C': 0.12}	0.4166666666666666	64	83	True	1
216	0.007	0.003	0.99	False	False	True	True	False	{'C': 4}	0.676923076923077	2648	5875	True	1
217	0.0003	0.0003	0.99	True	True	False	True	False	{'C': 0.5}	0.2830188679245283	79	1296	True	1
218	0.0003	0.0001	0.99	True	True	False	True	False	{'C': 4}	0.6086956521739131	87	572	True	1
219	0.0001	5e-05	0.99	True	True	False	True	False	{'C': 2}	0.2916666666666667	39	357	True	1
220	5e-05	5e-05	0.99	True	True	False	True	False	{'C': 2}	0.2271468144044321	18	357	True	1
221	5e-05	1e-05	0.99	True	True	False	True	False	{'C': 4}	0.460431654676259	32	82	True	1
222	0.007	0.003	0.99	True	True	False	True	False	{'C': 4}	0.5901639344262295	515	5745	True	1
223	0.0003	0.0003	0.99	True	False	False	True	False	{'C': 4}	0.29670329670329665	79	1296	True	1
224	0.0003	0.0001	0.99	True	False	False	True	False	{'C': 4}	0.6341463414634146	87	572	True	1
225	0.0001	5e-05	0.99	True	False	False	True	False	{'C': 4}	0.7792207792207793	39	357	True	1
226	5e-05	5e-05	0.99	True	False	False	True	False	{'C': 0.5}	0.2807017543859649	18	357	True	1
227	5e-05	1e-05	0.99	True	False	False	True	False	{'C': 4}	0.460431654676259	32	82	True	1
228	0.007	0.003	0.99	True	False	False	True	False	{'C': 4}	0.5901639344262295	515	5745	True	1
229	0.0003	0.0003	0.99	False	True	False	True	False	{'C': 0.5}	0.2871287128712871	79	1296	True	1
230	0.0003	0.0001	0.99	False	True	False	True	False	{'C': 2}	0.5263157894736842	87	572	True	1
231	0.0001	5e-05	0.99	False	True	False	True	False	{'C': 4}	0.3374485596707819	39	357	True	1
232	5e-05	5e-05	0.99	False	True	False	True	False	{'C': 1}	0.0	18	357	True	1
233	5e-05	1e-05	0.99	False	True	False	True	False	{'C': 4}	0.460431654676259	32	82	True	1
234	0.007	0.003	0.99	False	True	False	True	False	{'C': 4}	0.5901639344262295	515	5745	True	1
235	0.0003	0.0003	0.99	False	False	False	True	False	{'C': 2}	0.29946524064171126	79	1296	True	1
236	0.0003	0.0001	0.99	False	False	False	True	False	{'C': 4}	0.6236559139784946	87	572	True	1
237	0.0001	5e-05	0.99	False	False	False	True	False	{'C': 4}	0.7291666666666666	39	357	True	1
238	5e-05	5e-05	0.99	False	False	False	True	False	{'C': 4}	0.30769230769230765	18	357	True	1
239	5e-05	1e-05	0.99	False	False	False	True	False	{'C': 4}	0.460431654676259	32	82	True	1
240	0.007	0.003	0.99	False	False	False	True	False	{'C': 4}	0.5901639344262295	515	5745	True	1
