,score1,score2,tol,remove_stop,fuzzy,no_dist,svm,compress,best,f1
1129,0.0001,5E-05,0.99,True,False,False,True,True,{'C': 2},0.779220779220779
1135,0.0001,5E-05,0.99,False,True,False,True,True,{'C': 2},0.779220779220779
1143,5E-05,1E-05,0.99,False,False,False,True,True,{'C': 2},0.701298701298701
1102,0.007,0.003,0.99,True,True,True,True,True,{'C': 4},0.676923076923077
1108,0.007,0.003,0.99,True,False,True,True,True,{'C': 4},0.676923076923077
1114,0.007,0.003,0.99,False,True,True,True,True,{'C': 4},0.676923076923077
1120,0.007,0.003,0.99,False,False,True,True,True,{'C': 4},0.676923076923077
1098,0.0003,0.0001,0.99,True,True,True,True,True,{'C': 4},0.658227848101266
1104,0.0003,0.0001,0.99,True,False,True,True,True,{'C': 1},0.658227848101266
1110,0.0003,0.0001,0.99,False,True,True,True,True,{'C': 1},0.658227848101266
1116,0.0003,0.0001,0.99,False,False,True,True,True,{'C': 4},0.658227848101266
1128,0.0003,0.0001,0.99,True,False,False,True,True,{'C': 1},0.626506024096385
1134,0.0003,0.0001,0.99,False,True,False,True,True,{'C': 4},0.617283950617284
1140,0.0003,0.0001,0.99,False,False,False,True,True,{'C': 4},0.617283950617284
1122,0.0003,0.0001,0.99,True,True,False,True,True,{'C': 2},0.602150537634409
1126,0.007,0.003,0.99,True,True,False,True,True,{'C': 4},0.566666666666667
1132,0.007,0.003,0.99,True,False,False,True,True,{'C': 4},0.566666666666667
1138,0.007,0.003,0.99,False,True,False,True,True,{'C': 4},0.566666666666667
1144,0.007,0.003,0.99,False,False,False,True,True,{'C': 4},0.566666666666667
1111,0.0001,5E-05,0.99,False,True,True,True,True,{'C': 4},0.36
1117,0.0001,5E-05,0.99,False,False,True,True,True,{'C': 4},0.36
1103,0.0003,0.0003,0.99,True,False,True,True,True,{'C': 1},0.329411764705882
1109,0.0003,0.0003,0.99,False,True,True,True,True,{'C': 1},0.329411764705882
1115,0.0003,0.0003,0.99,False,False,True,True,True,{'C': 1},0.329411764705882
1097,0.0003,0.0003,0.99,True,True,True,True,True,{'C': 0.25},0.327272727272727
1099,0.0001,5E-05,0.99,True,True,True,True,True,{'C': 4},0.326530612244898
1105,0.0001,5E-05,0.99,True,False,True,True,True,{'C': 4},0.326530612244898
1123,0.0001,5E-05,0.99,True,True,False,True,True,{'C': 4},0.326530612244898
1141,0.0001,5E-05,0.99,False,False,False,True,True,{'C': 4},0.326530612244898
1139,0.0003,0.0003,0.99,False,False,False,True,True,{'C': 2},0.313513513513514
1127,0.0003,0.0003,0.99,True,False,False,True,True,{'C': 1},0.306010928961749
1133,0.0003,0.0003,0.99,False,True,False,True,True,{'C': 1},0.306010928961749
1121,0.0003,0.0003,0.99,True,True,False,True,True,{'C': 2},0.304347826086957
1124,5E-05,5E-05,0.99,True,True,False,True,True,{'C': 2},0.275862068965517
1136,5E-05,5E-05,0.99,False,True,False,True,True,{'C': 2},0.273972602739726
1142,5E-05,5E-05,0.99,False,False,False,True,True,{'C': 2},0.273972602739726
1100,5E-05,5E-05,0.99,True,True,True,True,True,{'C': 0.5},0.227146814404432
1101,5E-05,1E-05,0.99,True,True,True,True,True,{'C': 4},0
1106,5E-05,5E-05,0.99,True,False,True,True,True,{'C': 4},0
1107,5E-05,1E-05,0.99,True,False,True,True,True,{'C': 0.05},0
1112,5E-05,5E-05,0.99,False,True,True,True,True,{'C': 4},0
1113,5E-05,1E-05,0.99,False,True,True,True,True,{'C': 4},0
1118,5E-05,5E-05,0.99,False,False,True,True,True,{'C': 4},0
1119,5E-05,1E-05,0.99,False,False,True,True,True,{'C': 4},0
1125,5E-05,1E-05,0.99,True,True,False,True,True,{'C': 4},0
1130,5E-05,5E-05,0.99,True,False,False,True,True,{'C': 4},0
1131,5E-05,1E-05,0.99,True,False,False,True,True,{'C': 1},0
1137,5E-05,1E-05,0.99,False,True,False,True,True,{'C': 4},0
