	min	max	num_feat	weighting	best_parameter	f1
1	1	1	1000	stopwords	{'C': 4}	0.6454183266932271
2	2	2	3500	stopwords	{'C': 4}	0.5337620578778135
3	2	2	1500	tf_idf	{'C': 0.05}	0.6083916083916084
4	1	2	1500	tf_idf	{'C': 4}	0.5878594249201278
5	1	3	2500	tf_idf	{'C': 4}	0.5375722543352601
6	1	2	3000	stopwords	{'C': 1}	0.5619335347432024
7	1	1	3000	tf	{'C': 4}	0.5597269624573379
8	2	2	2500	tf	{'C': 4}	0.45430809399477806
9	1	2	1800	tf	{'C': 4}	0.4931506849315068
10	1	3	3500	tf	{'C': 4}	0.41255605381165916
11	2	3	3500	tf	{'C': 4}	0.34697855750487333
12	2	2	2000	tf_stop	{'C': 4}	0.5292307692307693
13	1	2	1500	tf_stop	{'C': 1}	0.5705329153605014
14	1	3	2500	tf_stop	{'C': 2}	0.4679802955665025
15	1	1	1700	tf_stop	{'C': 2}	0.6332046332046332
