	min	max	num_feat	weighting	best_parameter	f1
1	1	1	100	stopwords	{'C': 2}	0.6546762589928058
2	2	2	3000	stopwords	{'C': 4}	0.5962264150943396
3	2	2	500	tf_idf	{'C': 4}	0.7257383966244726
4	1	2	500	tf_idf	{'C': 4}	0.6865671641791044
5	1	3	1500	tf_idf	{'C': 1}	0.6642857142857143
6	1	2	2500	stopwords	{'C': 2}	0.6570397111913358
7	1	1	3500	tf	{'C': 4}	0.47923322683706066
8	2	2	1500	tf	{'C': 4}	0.43842364532019706
9	1	2	1500	tf	{'C': 4}	0.4891304347826087
10	1	3	1500	tf	{'C': 4}	0.40439560439560435
11	2	3	1500	tf	{'C': 4}	0.363265306122449
12	2	2	1700	tf_stop	{'C': 4}	0.5403508771929824
13	1	2	1700	tf_stop	{'C': 4}	0.6523297491039428
14	1	3	3000	tf_stop	{'C': 4}	0.5454545454545454
15	1	1	1700	tf_stop	{'C': 2}	0.6367346938775511
