	best_parameter	f1	is_norm_dataset	dict	sim
1	{'C': 4}	0.3814432989690722	standard	dict5	0.98
2	{'C': 2}	0.4513274336283186	standard	dict6	0.98
3	{'C': 0.12}	0.4431818181818181	standard	dict7	0.98
4	{'C': 0.05}	0.23357664233576642	standard	dict8	0.98
5	{'C': 1}	0.48199445983379496	normalize	dict5	0.98
6	{'C': 0.5}	0.4693333333333334	normalize	dict6	0.98
7	{'C': 2}	0.5059523809523809	normalize	dict7	0.98
8	{'C': 4}	0.23546511627906974	normalize	dict8	0.98
9	{'C': 2}	0.39378238341968913	standard	dict5	0.98
10	{'C': 0.05}	0.43983402489626555	standard	dict6	0.98
11	{'C': 0.12}	0.45070422535211263	standard	dict7	0.98
12	{'C': 0.05}	0.23357664233576642	standard	dict8	0.98
13	{'C': 1}	0.48295454545454547	normalize	dict5	0.98
14	{'C': 0.5}	0.4627659574468085	normalize	dict6	0.98
15	{'C': 4}	0.49849849849849853	normalize	dict7	0.98
16	{'C': 4}	0.23546511627906974	normalize	dict8	0.98
17	{'C': 0.05}	0.3489361702127659	standard	dict5	0.95
18	{'C': 2}	0.4415584415584416	standard	dict6	0.95
19	{'C': 0.05}	0.4723926380368098	standard	dict7	0.95
20	{'C': 0.05}	0.4776119402985075	standard	dict8	0.95
21	{'C': 1}	0.48219178082191777	normalize	dict5	0.95
22	{'C': 1}	0.5391849529780565	normalize	dict6	0.95
23	{'C': 2}	0.5235294117647059	normalize	dict7	0.95
24	{'C': 2}	0.4690026954177897	normalize	dict8	0.95
25	{'C': 0.05}	0.34334763948497854	standard	dict5	0.95
26	{'C': 0.12}	0.43037974683544306	standard	dict6	0.95
27	{'C': 0.05}	0.47678018575851383	standard	dict7	0.95
28	{'C': 0.05}	0.4776119402985075	standard	dict8	0.95
29	{'C': 1}	0.4861878453038674	normalize	dict5	0.95
30	{'C': 0.25}	0.4705882352941177	normalize	dict6	0.95
31	{'C': 2}	0.5159420289855072	normalize	dict7	0.95
32	{'C': 2}	0.4690026954177897	normalize	dict8	0.95
