	best_parameter	f1	is_norm_dataset	dict
1	{'C': 0.12}	0.4314720812182741	standard	dict1
2	{'C': 0.05}	0.14775725593667546	standard	dict2
3	{'C': 0.05}	0.4607843137254902	standard	dict3
4	{'C': 1}	0.454320987654321	standard	dict4
5	{'C': 4}	0.34567901234567905	normalize	dict1
6	{'C': 0.05}	0.14840989399293283	normalize	dict2
7	{'C': 4}	0.36434108527131787	normalize	dict3
8	{'C': 1}	0.3702213279678069	normalize	dict4
9	{'C': 0.12}	0.4314720812182741	standard	dict1
10	{'C': 0.05}	0.14775725593667546	standard	dict2
11	{'C': 0.05}	0.4607843137254902	standard	dict3
12	{'C': 1}	0.4554455445544554	standard	dict4
13	{'C': 4}	0.34567901234567905	normalize	dict1
14	{'C': 0.05}	0.14827890556045895	normalize	dict2
15	{'C': 4}	0.3636363636363636	normalize	dict3
16	{'C': 2}	0.3705179282868526	normalize	dict4
17	{'C': 0.05}	0.41871921182266014	standard	dict1
18	{'C': 0.05}	0.3259668508287293	standard	dict2
19	{'C': 1}	0.28415300546448086	standard	dict3
20	{'C': 1}	0.2958579881656805	standard	dict4
21	{'C': 4}	0.4160756501182033	normalize	dict1
22	{'C': 0.05}	0.46153846153846156	normalize	dict2
23	{'C': 0.05}	0.46	normalize	dict3
24	{'C': 0.12}	0.4699999999999999	normalize	dict4
25	{'C': 0.05}	0.41871921182266014	standard	dict1
26	{'C': 0.12}	0.3224043715846994	standard	dict2
27	{'C': 0.05}	0.375	standard	dict3
28	{'C': 0.5}	0.27692307692307694	standard	dict4
29	{'C': 4}	0.4160756501182033	normalize	dict1
30	{'C': 0.05}	0.4584382871536524	normalize	dict2
31	{'C': 0.05}	0.4658227848101265	normalize	dict3
32	{'C': 0.25}	0.4372093023255815	normalize	dict4
