	score1	score2	tol	fuzzy	remove_stop	svm	compress	n_dif	best	f1	words_pos	words_neg	concatenate	word_embedings
21	0.0003	0.0003	0.99	True	False	True	False	False	{'C': 0.5}	0.5454545454545455	16	7992	True	1
22	0.0003	0.0007	0.99	True	False	True	False	False	{'C': 0.5}	0.5454545454545455	16	7992	True	1
23	0.0003	0.0001	0.99	True	False	True	False	False	{'C': 0.05}	0.5589519650655022	27	5004	True	1
24	0.0001	0.0001	0.99	True	False	True	False	False	{'C': 0.05}	0.5589519650655022	8	5004	True	1
25	0.0001	0.0005	0.99	True	False	True	False	False	{'C': 0.05}	0.5739910313901346	8	7992	True	1
26	0.0001	5e-05	0.99	True	False	True	False	False	{'C': 0.05}	0.516949152542373	9	3429	True	1
27	0.0005	0.0005	0.99	True	False	True	False	False	{'C': 0.05}	0.579185520361991	22	7992	True	1
28	0.005	0.001	0.99	True	False	True	False	False	{'C': 0.12}	0.5794392523364486	1753	7992	True	1
29	0.0005	0.0008	0.99	True	False	True	False	False	{'C': 0.05}	0.579185520361991	22	7992	True	1
30	0.0001	0.0001	0.99	True	False	True	False	False	{'C': 0.05}	0.5589519650655022	8	5004	True	1
31	0.0001	0.0006	0.99	True	True	True	False	False	{'C': 0.05}	0.579185520361991	8	7992	True	1
32	0.0001	5e-05	0.99	True	True	True	False	False	{'C': 0.05}	0.5084745762711865	9	3429	True	1
33	0.0003	0.0003	0.99	True	True	True	False	False	{'C': 0.05}	0.5765765765765767	16	7992	True	1
34	0.0003	0.0008	0.99	True	True	True	False	False	{'C': 0.05}	0.5765765765765767	16	7992	True	1
35	0.0003	0.0001	0.99	True	True	True	False	False	{'C': 4}	0.5128205128205129	27	5004	True	1
36	0.007	0.007	0.99	True	True	True	False	False	{'C': 0.05}	0.5688073394495414	1753	7992	True	1
37	0.007	0.003	0.99	True	True	True	False	False	{'C': 0.05}	0.5688073394495414	1753	7992	True	1
38	0.007	0.009	0.99	True	True	True	False	False	{'C': 0.05}	0.5688073394495414	1753	7992	True	1
39	0.009	0.004	0.99	True	True	True	False	False	{'C': 0.05}	0.5688073394495414	1753	7992	True	1
40	0.005	0.005	0.99	True	True	True	False	False	{'C': 0.05}	0.5688073394495414	1753	7992	True	1
