	score1	score2	tol	fuzzy	remove_stop	svm	compress	n_dif	best	f1	words_pos	words_neg	concatenate	word_embeddings
41	0.0003	0.0003	0.99	False	False	True	False	True	{'C': 2}	0.5286343612334802	1529	8000	True	1
42	0.0003	0.0007	0.99	False	False	True	False	True	{'C': 2}	0.5286343612334802	1529	8000	True	1
43	0.0003	0.0001	0.99	False	False	True	False	True	{'C': 0.12}	0.5344827586206897	1529	5009	True	1
44	0.0001	0.0001	0.99	False	False	True	False	True	{'C': 1}	0.5236051502145923	747	5009	True	1
45	0.0001	0.0005	0.99	False	False	True	False	True	{'C': 0.25}	0.5565217391304348	747	8000	True	1
46	0.0001	5e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.5042735042735041	747	3432	True	1
47	5e-05	5e-05	0.99	False	False	True	False	True	{'C': 0.25}	0.5022026431718062	447	3432	True	1
48	5e-05	1e-05	0.99	False	False	True	False	True	{'C': 0.12}	0.41818181818181815	447	1418	True	1
49	5e-05	8e-05	0.99	False	False	True	False	True	{'C': 1}	0.5	447	4403	True	1
50	1e-05	1e-05	0.99	False	False	True	False	True	{'C': 0.05}	0.4273504273504274	133	1418	True	1
51	1e-05	6e-05	0.99	False	True	True	False	True	{'C': 2}	0.4609053497942387	133	3769	True	1
52	1e-05	5e-06	0.99	False	True	True	False	True	{'C': 2}	0.3511450381679389	133	875	True	1
53	3e-05	3e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.5087719298245614	318	2608	True	1
54	3e-05	8e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.5210084033613446	318	4403	True	1
55	3e-05	1e-05	0.99	False	True	True	False	True	{'C': 0.05}	0.4206008583690988	318	1418	True	1
56	0.007	0.007	0.99	False	True	True	False	True	{'C': 0.5}	0.5511111111111112	8000	8000	True	1
57	0.007	0.003	0.99	False	True	True	False	True	{'C': 0.5}	0.5511111111111112	8000	8000	True	1
58	0.007	0.009	0.99	False	True	True	False	True	{'C': 0.5}	0.5511111111111112	8000	8000	True	1
59	9e-07	4e-07	0.99	False	True	True	False	True	{'C': 0.25}	0.23984526112185686	18	105	True	1
60	5e-06	5e-06	0.99	False	True	True	False	True	{'C': 0.05}	0.3795620437956204	73	875	True	1
