	score1	score2	tol	fuzzy	remove_stop	svm	compress	n_dif	best	f1	words_pos	words_neg	concatenate	words_emebddings
161	0.03	0.03	0.99	False	False	True	False	False	{'C': 0.12}	0.5570776255707762	5788	26067	False	3
162	0.03	0.07	0.99	False	False	True	False	False	{'C': 0.05}	0.6018518518518517	5788	59386	False	3
163	0.03	0.01	0.99	False	False	True	False	False	{'C': 0.05}	0.5529953917050692	7110	7758	False	3
164	0.01	0.01	0.99	False	False	True	False	False	{'C': 0.12}	0.33248081841432225	1621	7758	False	3
165	0.001	0.005	0.99	False	False	True	False	False	{'C': 0.12}	0.2714285714285714	68	3339	False	3
166	0.001	0.005	0.99	False	False	True	False	False	{'C': 0.12}	0.2714285714285714	68	3339	False	3
167	0.005	0.005	0.99	False	False	True	False	False	{'C': 1}	0.19823788546255508	635	3330	False	3
168	0.005	0.001	0.99	False	False	True	False	False	{'C': 1}	0.17073170731707316	643	429	False	3
169	0.005	0.008	0.99	False	False	True	False	False	{'C': 0.25}	0.22222222222222218	635	5974	False	3
170	0.001	0.001	0.99	False	False	True	False	False	{'C': 4}	0.13775510204081634	68	429	False	3
171	0.001	0.006	0.99	False	True	True	False	False	{'C': 0.25}	0.26459143968871596	68	4200	False	3
172	0.001	0.0005	0.99	False	True	True	False	False	{'C': 2}	0.14198286413708688	68	196	False	3
173	0.003	0.003	0.99	False	True	True	False	False	{'C': 2}	0.16100178890876565	314	1671	False	3
174	0.003	0.008	0.99	False	True	True	False	False	{'C': 4}	0.2292263610315186	314	5985	False	3
175	0.003	0.001	0.99	False	True	True	False	False	{'C': 4}	0.13636363636363638	317	429	False	3
176	0.007	0.007	0.99	False	True	True	False	False	{'C': 0.25}	0.20814479638009048	978	5074	False	3
177	0.007	0.003	0.99	False	True	True	False	False	{'C': 4}	0.1442125237191651	989	1671	False	3
178	0.007	0.009	0.99	False	True	True	False	False	{'C': 0.12}	0.24330900243309	978	6812	False	3
179	0.009	0.004	0.99	False	True	True	False	False	{'C': 0.25}	0.22815533980582525	1440	2526	False	3
180	0.005	0.005	0.99	False	True	True	False	False	{'C': 1}	0.19823788546255508	635	3330	False	3
