	num_feats	tol	fuzzy	remove_stop	svm	compress	f1
141	1000	0.99	False	False	False	False	0.188911704312115
142	1500	0.99	False	False	False	False	0.1869918699186992
143	2000	0.99	False	False	False	False	0.1964097148891236
144	2500	0.99	False	False	False	False	0.1951731374606506
145	3000	0.99	False	False	False	False	0.2075892857142857
146	4000	0.99	False	False	False	False	0.21296296296296297
147	4500	0.99	False	False	False	False	0.21296296296296297
148	5000	0.99	False	False	False	False	0.2158273381294964
149	5500	0.99	False	False	False	False	0.2219482120838471
150	6000	0.99	False	False	False	False	0.22613065326633164
151	1000	0.99	False	True	False	False	0.1905737704918033
152	1500	0.99	False	True	False	False	0.1869918699186992
153	2000	0.99	False	True	False	False	0.1964097148891236
154	2500	0.99	False	True	False	False	0.1957894736842105
155	3000	0.99	False	True	False	False	0.2073578595317726
156	4000	0.99	False	True	False	False	0.21247113163972287
157	4500	0.99	False	True	False	False	0.21296296296296297
158	5000	0.99	False	True	False	False	0.21403091557669443
159	5500	0.99	False	True	False	False	0.22085889570552147
160	6000	0.99	False	True	False	False	0.22556390977443608
