	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
201	1000	0.99	False	False	True	True	0.3648068669527897	{'C': 0.12}
202	1500	0.99	False	False	True	True	0.33599999999999997	{'C': 0.05}
203	2000	0.99	False	False	True	True	0.3314500941619586	{'C': 0.25}
204	2500	0.99	False	False	True	True	0.30689655172413793	{'C': 0.12}
205	3000	0.99	False	False	True	True	0.332703213610586	{'C': 0.12}
206	4000	0.99	False	False	True	True	0.3247232472324723	{'C': 0.05}
207	4500	0.99	False	False	True	True	0.28475711892797323	{'C': 0.05}
208	5000	0.99	False	False	True	True	0.2623456790123456	{'C': 0.05}
209	5500	0.99	False	False	True	True	0.2537764350453172	{'C': 0.05}
210	6000	0.99	False	False	True	True	0.25	{'C': 0.05}
211	1000	0.99	False	True	True	True	0.3648068669527897	{'C': 0.25}
212	1500	0.99	False	True	True	True	0.3373493975903614	{'C': 0.12}
213	2000	0.99	False	True	True	True	0.33976833976833976	{'C': 0.12}
214	2500	0.99	False	True	True	True	0.3117338003502627	{'C': 0.05}
215	3000	0.99	False	True	True	True	0.33333333333333337	{'C': 0.12}
216	4000	0.99	False	True	True	True	0.3241252302025783	{'C': 0.05}
217	4500	0.99	False	True	True	True	0.28667790893760536	{'C': 0.05}
218	5000	0.99	False	True	True	True	0.2603369065849923	{'C': 0.05}
219	5500	0.99	False	True	True	True	0.2541603630862329	{'C': 0.05}
220	6000	0.99	False	True	True	True	0.24962852897473997	{'C': 0.12}
